0,true,prediction by hmm,prediction with our model,sentence
10,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","['this', 'is', 'a', 'stout-bodied', 'fish', ',', 'something', 'like', 'a', 'perch', 'in', 'general', 'proportions', ',', 'with', 'long', ',', 'low', 'fins', 'on', 'upper', 'and', 'lower', 'rear', 'of', 'the', 'body', '(', 'fin', 'rays', 'finely', 'divide', 'near', 'their', 'ends', ')', '.']"
11,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['adam', 'decided', 'to', 'hold', 'back', 'miranda', ""'s"", 'bombshell', 'until', 'later', ',', 'after', 'elinor', 'drank', 'her', 'evening', 'glass', 'of', 'champagne', '.']"
12,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]","['let', 'puritans', 'and', 'pessimists', 'damn', ',', 'disapprove', 'or', 'dismiss', 'these', 'appetites', ';', 'that', 'is', 'their', 'loss', '.']"
13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['he', 'had', 'come', ',', 'he', 'believed', ',', 'because', 'he', 'needed', 'to', 'discuss', 'certain', 'administrative', 'problems', 'with', 'frederica', '.']"
14,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","['there', 'are', 'no', 'instruments', 'capable', 'to', 'measure', 'the', 'magnitude', 'or', 'direction', 'of', 'a.']"
15,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]","['it', 'is', 'also', 'urging', 'the', 'conference', 'to', 'oppose', 'a', 'motion', ',', 'supported', 'by', 'the', 'national', 'union', 'of', 'mineworkers', ',', 'to', 'commit', 'a', 'labour', 'government', 'to', 'abolishing', 'all', 'nuclear', 'power', 'within', '15', 'years', '.']"
16,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['you', 'have', 'to', 'hope', 'that', 'its', 'blankness', 'will', 'slowly', 'dissolve', 'and', 'let', 'life', 'in', '.']"
17,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]","['extensive', 'use', 'of', 'line', 'drawings', ',', 'schematic', 'diagrams', ',', 'algorithmic', 'lists', 'is', 'desirable', ',', 'and', 'where', 'prose', 'is', 'used', 'this', 'also', 'should', 'be', 'structured', 'into', 'short', 'sentences', 'with', 'meaningful', 'separation', 'into', 'paragraphs', '.']"
18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0]","['they', 'had', 'slept', 'well', ',', 'eaten', 'well', ',', 'slept', 'again', 'and', 'eventually', 'got', 'bored', 'with', 'the', 'passing', 'countryside', '.']"
19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['so', 'she', 'said', 'er', 'it', 'wo', ""n't"", 'only', 'be', 'fiver', 'cos', 'she', 'said']"
20,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","['the', 'abstract', 'talk', 'of', 'commuting', 'by', 'rail', 'or', 'road', 'being', 'replaced', 'by', 'information', 'technology', 'finds', 'a', 'concrete', 'expression', 'in', 'the', 'idea', 'of', 'telecottages', '.']"
21,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['he', 'was', 'thumbing', 'through', 'usa', 'today', 'for', 'the', 'umpteenth', 'time', ',', 'looking', 'for', 'something', 'he', 'might', 'have', 'missed', ',', 'when', 'he', 'heard', 'her', 'giggling', '.']"
22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['such', 'substances', 'and', 'thresholds', 'include', ',', 'for', 'instance', ',', '25', 'tonnes', 'of', 'flammable', 'liquid', 'petroleum', 'gas', 'and', 'the', 'explosive', 'sodium', 'chlorate', ',', 'and', '10', 'tonnes', 'of', 'toxic', 'chlorine', 'gas', '.']"
23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['when', 'he', 'was', 'little', 'he', 'was', 'sat', 'in', 'his', 'buggy']"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['and', 'he', 'said', 'get', 'me', 'a', 'padded', 'shirt', ',', 'he', 'said', ',', 'joycie', ""'s"", 'getting', 'me', 'one', 'he', 'said', 'and', 'i', 'want', 'two', '.']"
25,"[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['but', 'just', 'one', 'line', 'of', 'things', 'that', 'you', 'know', ',', 'i', 'do', ""n't"", 'mean', 'a', 'diary', 'where', 'you', 'write', 'a', 'page', 'every', 'night', ',', 'but', 'just', 'two', 'lines', 'you', 'know', '.']"
26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['the', 'rather', 'clumsy', 'handling', 'by', 'nirex', 'of', 'the', 'search', 'for', 'sites', 'to', 'store', 'low-', 'and', 'intermediate-level', 'wastes', ',', 'together', 'with', 'very', 'recent', 'worries', 'about', 'the', 'import', 'of', 'toxic', 'wastes', 'such', 'as', 'polychlorinated', 'biphenyls', '(', 'pcbs', ')', ',', 'are', 'but', 'two', 'examples', 'of', 'such', 'concern', 'in', 'the', 'uk', '.']"
27,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","['in', 'it', ',', 'a', 'small', 'child', 'roams', 'the', 'streets', ',', 'talking', 'to', 'strangers', ',', 'until', 'he', 'finally', 'goes', 'off', 'with', 'a', 'woman', 'who', 'has', 'been', 'wandering', 'about', 'pushing', 'an', 'empty', 'pram', '.']"
28,"[0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","['sit', 'and', 'eat', 'that', ""'s"", 'what', 'he', 'wants', '.']"
29,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['and', 'it', ""'s"", 'all', 'do', 'with', 'erm', 'you', 'know', 'people', 'and', 'the', 'erm', 'wives', 'and', 'language', 'of', 'the', 'nineties', '.']"
30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['as', 'i', 'say', 'i', 'mean', 'well', 'because', 'i', 'do', 'feel', 'the', 'cold', 'i', 'suppose', 'i', 'have', 'to', 'have', 'more', 'heat', 'than']"
31,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['improved', 'morale', 'would', 'also', 'make', 'possible', 'organizational', 'advances', 'outside', 'parliament', ',', 'all', 'linked', 'to', 'the', 'issue', 'of', 'ulster', ',', 'and', 'with', 'the', 'sights', 'fixed', 'firmly', 'on', 'the', 'next', 'election', ',', 'an', 'election', 'that', 'would', 'make', 'or', 'break', 'the', 'union', ',', 'the', 'empire', 'and', 'law', ""'s"", 'leadership', 'of', 'the', 'party', '.']"
32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0]","['a', 'wise', 'man', 'built', 'his', 'house', 'upon', 'the', 'rock', ',', 'a', 'wise', 'man', 'built', 'his', 'house', 'upon', 'the', 'rock', ',', 'the', 'wise', 'man', 'built', 'his', 'house', 'upon', 'the', 'rock', 'and', 'the', 'rain', 'came', 'tumbling', 'down', ',', 'and', 'the', 'rain', 'came', 'down', 'and', 'the', 'flood', 'came', 'up', 'and', 'the', 'rain', 'came', 'down', 'and', 'the', 'flood', 'came', 'up']"
33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['cos', 'i', 'was', 'mary', 'wanted', 'to', 'go', 'and', 'see', 'simply', 'red', 'at', 'g', 'mex', ',', 'and', 'last', 'weekend', 'we', 'or', 'weekend', 'before', 'last', 'when', 'they', 'were', 'on', ',', 'their', 'big', ',', 'er', 'we', 'could', ""n't"", 'because', 'i', 'had', 'the', 'kids', 'friday', 'night', 'and', 'the', 'two', 'of', 'them', 'saturday', 'night', 'and', 'it', ',', 'that', 'was', 'the', 'two', 'nights', '.']"
34,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","['he', 'was', 'emerging', 'in', 'stately', 'fashion', 'from', 'wavebreaker', ""'s"", 'companionway', 'and', ',', 'though', 'i', 'could', 'see', 'he', 'was', 'tall', 'and', 'lanky', 'and', 'had', 'a', 'ponytail', 'of', 'hair', ',', 'i', 'could', 'make', 'out', 'no', 'details', 'of', 'his', 'face', '.']"
35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]","['erm', 'and', 'instead', 'of', 'the', 'bath', 'in', 'the', 'bathroom', 'he', ""'s"", 'just', 'got', 'a', 'shower', 'up', 'there', '.']"
36,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['you', 'know', 'he', ""'s"", 'entitled', 'to', 'his', 'holidays', 'but', 'i', 'do', ""n't"", 'want', 'to', 'sit']"
